Node	CRUD	DataFlowValue
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7]
$r40 = virtualinvoke $r38.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".xml")	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39]
$r44[0] = r9	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z6, $r44]
r8 = $r26	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r26]
if $z5 == 0 goto $z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5]
$r14 = virtualinvoke $r13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, r1, r2, r3, $i0, $r12, $r13]
$r17 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>(r4)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r43)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z4, $r42, $r43]
if r7 != null goto $z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7]
$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	U	[r0, r1, r2, r3, $i0]
$r59 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r57)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55, $r56, $r57, $r58]
$r37 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36]
$r30 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r5)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r50)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r49, $r50]
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	U	[r0, r1, r2, r3, $i0, $z0]
$r35 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34]
r52 = $r51	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51]
$r21[0] = $r22	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $r21, $r22]
