start	end	CRUD_Test
$l10 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getUsed()>()	$l11 = $l10 * 100L	1
$l11 = $l10 * 100L	$l12 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getMax()>()	1
$l12 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getMax()>()	$l13 = $l11 / $l12	1
$l13 = $l11 / $l12	$r70 = virtualinvoke $r69.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l13)	1
$r70 = virtualinvoke $r69.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l13)	$r71 = virtualinvoke $r70.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("%)")	1
$r71 = virtualinvoke $r70.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("%)")	$r72 = virtualinvoke $r71.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r72 = virtualinvoke $r71.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r72)	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r72)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td></tr>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td></tr>")	$z1 = interfaceinvoke r55.<java.util.Iterator: boolean hasNext()>()	0
$z1 = interfaceinvoke r55.<java.util.Iterator: boolean hasNext()>()	if $z1 != 0 goto $r56 = interfaceinvoke r55.<java.util.Iterator: java.lang.Object next()>()	1
if $z1 != 0 goto $r56 = interfaceinvoke r55.<java.util.Iterator: java.lang.Object next()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</tbody></table>")	0
if $z1 != 0 goto $r56 = interfaceinvoke r55.<java.util.Iterator: java.lang.Object next()>()	$r56 = interfaceinvoke r55.<java.util.Iterator: java.lang.Object next()>()	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</tbody></table>")	goto [?= return]	0
goto [?= return]	return	0
if i0 != 1 goto return	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<jvm>")	0
if i0 != 1 goto return	return	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<jvm>")	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<memory")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<memory")	$r73 = new java.lang.StringBuilder	0
$r73 = new java.lang.StringBuilder	specialinvoke $r73.<java.lang.StringBuilder: void <init>(java.lang.String)>(" free=\'")	1
specialinvoke $r73.<java.lang.StringBuilder: void <init>(java.lang.String)>(" free=\'")	$r74 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	0
$r74 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	$l14 = virtualinvoke $r74.<java.lang.Runtime: long freeMemory()>()	1
$l14 = virtualinvoke $r74.<java.lang.Runtime: long freeMemory()>()	$r75 = virtualinvoke $r73.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l14)	1
