,target_c,targetFQCN_c,teaching_c,step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c
106,org.apache.tomcat.util.http.parser.HttpParser_isHex,org.apache.tomcat.util.http.parser.HttpParser,1,8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333
107,org.apache.tomcat.util.http.parser.HttpParser_isHttpProtocol,org.apache.tomcat.util.http.parser.HttpParser,1,8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333
108,org.apache.tomcat.util.http.parser.HttpParser_isNotRequestTarget,org.apache.tomcat.util.http.parser.HttpParser,1,3,0,0.666666667,0.25,0.333333333,0.001326688,82949.11067,0.121491107,0.341646554,1.333333333
109,org.apache.tomcat.util.http.parser.HttpParser_isNotRequestTargetRelaxed,org.apache.tomcat.util.http.parser.HttpParser,1,9,0,0.555555556,0.160714286,1.357142857,7.41E-05,71185.61538,0.088226177,0.386728909,9.357142857
110,org.apache.tomcat.util.http.parser.HttpParser_isQuery,org.apache.tomcat.util.http.parser.HttpParser,1,3,0,0.666666667,0.25,0.333333333,0.001326688,82949.11067,0.121491107,0.341646554,1.333333333
111,org.apache.tomcat.util.http.parser.HttpParser_isQueryRelaxed,org.apache.tomcat.util.http.parser.HttpParser,1,9,0,0.555555556,0.160714286,1.357142857,7.41E-05,71185.61538,0.088226177,0.386728909,9.357142857
112,org.apache.tomcat.util.http.parser.HttpParser_isRelaxable,org.apache.tomcat.util.http.parser.HttpParser,1,8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333
113,org.apache.tomcat.util.http.parser.HttpParser_isToken,org.apache.tomcat.util.http.parser.HttpParser,1,8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333
114,org.apache.tomcat.util.http.parser.HttpParser_isUserInfo,org.apache.tomcat.util.http.parser.HttpParser,1,8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333
115,org.apache.tomcat.util.http.parser.HttpParser_parseAuthorizationDigest,org.apache.tomcat.util.http.parser.HttpParser,1,56,21,0.446428571,0.031410256,1.382051282,2.15E-07,17009.11357,0.023372445,0.342739946,63428.48141
116,org.apache.tomcat.util.http.parser.HttpParser_parseMediaType,org.apache.tomcat.util.http.parser.HttpParser,1,45,20,0.466666667,0.035714286,1.171428571,6.85E-07,18229.28585,0.025749443,0.138675596,13450.87857
117,org.apache.tomcat.util.http.parser.HttpParser_unquote,org.apache.tomcat.util.http.parser.HttpParser,1,33,13,0.454545455,0.040640394,0.63546798,1.16E-06,20823.27496,0.03143593,0.16372196,4457.672414
118,sample.functionA.MainA_main,sample.functionA.MainA,1,12,1,0.333333333,0.109090909,0.363636364,3.22E-05,64336.02414,0.070512063,0.22607274,64.16363636
